xDom,yDom,tendency
62.31643152400488, 69.93866054579638, 1.1
34.627346875842946, 33.39837562509057, 1.1
38.2871618706551, 57.28543884021971, 1.1
19.208881223749145, 11.670921728528326, 1.1
26.701028100443185, 13.398930325422873, 1.1
11.011400059844133, 4.400638788970479, 1.1
6.629016552827534, -4.22268709974571, 1.1
54.153999471856636, 63.26924507920624, 1.1
40.09291732062256, 31.735568578405385, 1.1
31.84377406544031, 49.49681389296829, 1.1
16.057960134802702, 13.079197545447187, 1.1
17.746499337530047, 21.38961636817345, 1.1
73.79712827616744, 68.79832421758759, 1.1
7.445311247128322, 4.836085935886393, 1.1
65.23373972349808, 83.92269077454282, 1.1
11.739669272629238, 23.785119954987884, 1.1
64.43447876139192, 68.2081919595384, 1.1
57.111181413757116, 57.11257460294034, 1.1
6.301979776889953, 22.358600598514617, 1.1
28.18566188999927, 20.094205963561784, 1.1
74.15939825979328, 68.21212366467586, 1.1
12.206312776086547, -2.888186283161037, 1.1
13.24741860371915, 4.14064406523411, 1.1
68.43428040700977, 76.31122196316944, 1.1
65.7872357249725, 67.47824500809922, 1.1
14.413697756766485, 25.236753335330704, 1.1
50.11129808843415, 66.1512036099138, 1.1
30.809421985801603, 31.714441686018503, 1.1
14.572746724142892, 21.65975440267383, 1.1
26.588198732039743, 33.345305960138774, 1.1
64.52413972923779, 82.35298401118114, 1.1
78.54612895203637, 84.8111513255915, 1.1
38.77657019581325, 37.01246825793679, 1.1
43.00960476584957, 61.788279761318314, 1.1
21.2713752460587, 16.264493945480183, 1.1
75.15100697088417, 66.58447580827807, 1.1
54.57253990950165, 57.124451993754974, 1.1
52.10839837297519, 50.85966526566274, 1.1
33.38963121337031, 49.52108813820426, 1.1
28.133816205557494, 33.25589265620109, 1.1
72.29913627081703, 61.20092230447786, 1.1
76.90624840683552, 83.11896598855218, 1.1
24.540310474409516, 40.54746822820688, 1.1
36.77730421663067, 26.88038254665653, 1.1
68.17646961548559, 83.45949985526624, 1.1
13.27841822348172, -4.665321812870959, 1.1
8.844638706633656, 7.882422434021853, 1.1
7.098525239221845, 21.272609089925087, 1.1
31.262310313789502, 38.64351054471599, 1.1
6.551097289884636, -7.820214253666082, 1.1
