xDom,yDom,class
26.2546796685,36.3131035404,A
86.7526589267,74.4335975118,A
25.1953619748,41.2244708534,A
34.0336196071,50.7407028459,A
49.4746669821,32.3719275004,A
27.2184586581,45.7281409471,A
64.8747499827,46.3374230442,A
39.7799886939,22.2937973738,A
52.0686614062,43.2361946362,A
53.1212730639,69.8682923431,A
82.4422646939,33.0638221095,A
77.8277095935,53.5321618801,A
24.7420734681,45.4869989287,A
77.7413485000,25.1019507099,A
25.3355565719,69.5701332284,A
88.8768771526,72.0228352384,A
84.4277495371,52.6013977835,A
26.2842801945,54.7681898830,A
39.1713380788,31.8248345228,A
57.9268137193,75.4540176446,A
65.3660997835,56.8978440490,A
40.8612009746,34.8070605012,A
69.1523242100,43.4788474317,A
48.6350710017,20.3390864577,A
49.8984687793,52.7697348170,A
68.0977476722,32.9382161990,A
34.5442360813,66.9160491243,A
41.9212937869,30.1206483907,A
37.0521288222,55.2722042148,A
40.4526142608,64.3017634458,A
76.0197748255,33.5827266260,A
34.9990857985,43.8508053173,A
88.7589389605,46.1705365110,A
40.3414917550,54.7895955456,A
86.4198807568,61.2567514327,A
27.7948577294,68.7930311058,A
80.4627259713,36.7616848809,A
75.9883445987,24.3543158609,A
70.5036757760,75.5243584655,A
73.6129235776,85.4384224740,A
31.3982443398,47.6405350405,A
85.0387793674,68.9623714834,A
47.1065911917,60.3176639338,A
77.2440557023,54.1518631817,A
66.2050483998,27.4913488620,A
27.2996447352,61.0710223888,A
45.4120916447,46.8867596703,A
42.7997451825,58.4311782721,A
42.4645492760,59.5097303334,A
49.5210608404,57.7159230545,A
73.5286598754,36.2869906372,A
54.6011786928,73.1263396059,A
51.6614277381,23.1074918252,A
22.4035149219,50.3482236508,A
39.8414034068,85.6452872561,A
24.9272351702,50.0153573735,A
19.0297392520,65.7984382081,A
71.8277476756,77.1125863554,A
27.3532228861,68.7272735565,A
69.0710187973,51.7689244011,A
69.8656448406,21.7975142652,A
36.5381562556,26.1399904364,A
60.8441885033,37.5939565711,A
63.8584392462,69.2623477528,A
80.8527415511,47.8535004789,A
59.3368214251,30.4340580634,A
59.1194978325,55.4735969503,A
33.7440567490,26.6743198704,A
86.7409048595,70.1618216579,A
85.3124904052,40.4079283192,A
90.6661380067,54.6978772587,A
54.8876657975,33.5415240021,A
40.6738332383,82.5345071577,A
30.9515374724,46.9451958040,A
46.7609359306,80.7993904431,A
55.6794889929,23.5158623653,A
79.2210997880,64.6486520716,A
57.8876090844,41.4853160814,A
66.4836069290,59.3474074614,A
54.3170576086,89.0381063206,A
66.1454913904,47.1264976054,A
89.4673922730,57.4968282658,A
25.7688347175,43.8595776935,A
87.6705822566,36.6227999749,A
79.4436985792,72.5351882971,A
55.7977076828,46.1206773165,A
44.6221017765,20.5086155931,A
62.9433230981,42.7844278323,A
29.7292840553,39.7513541545,A
33.2595457238,51.2298406652,A
66.9387668076,25.0401367973,A
41.8136580637,53.2253328277,A
56.7647852901,73.2502318015,A
21.0026709385,67.2678081904,A
56.5593600956,33.0975871315,A
38.4354203697,35.3471011069,A
37.9250672964,71.6934726938,A
33.4715603242,73.9305092552,A
41.5935369204,39.2575082387,A
31.6818825083,53.2831118718,A
