xDom,yDom,class
51.2295527603,73.7273502462,A
48.6136799667,70.4164779126,A
32.3428831330,57.2995640112,A
56.3656775267,36.1128055523,A
46.3645547941,72.7553059657,A
79.0237109644,48.6893611350,A
26.1181530307,66.5820168027,A
56.5732842211,25.9096567768,A
64.8979471093,38.3098249129,A
36.3815026461,71.8833423521,A
54.8592589718,49.7637567669,A
52.1777282026,21.8442102639,A
50.7104028394,76.8383917851,A
22.9924553537,70.3455713741,A
53.9746985317,61.0091188610,A
54.8183484836,25.7386273844,A
57.3701438093,41.7543601286,A
42.2172259025,37.4338957405,A
45.7117203309,20.4766419570,A
77.3876683254,43.2350741410,A
21.6406912754,57.1842679076,A
21.0913515604,31.9415186985,A
39.2787172165,73.7389077271,A
45.5163771251,73.5962105947,A
30.7443938291,23.5172003803,A
35.3358199451,73.7402884284,A
64.0241500914,70.4961638091,A
78.9237060749,38.9646612122,A
60.8858807905,34.1425434050,A
23.2446545825,41.6394370864,A
60.5219238019,74.0660804422,A
73.0923039072,71.0801201298,A
61.7294410269,52.2912852667,A
78.9995339861,31.0043580324,A
30.8890771714,52.8476788711,A
43.3796633778,15.7313324447,A
35.0064384942,55.8954032571,A
37.0783539478,19.2777104058,A
39.2032829725,79.6551149042,A
51.2629971570,20.5505298239,A
46.7343498518,46.2462296981,A
25.1466593548,37.8170580506,A
42.9434488190,31.4406393881,A
49.9398700669,35.5996997748,A
60.8845620032,19.8786981665,A
35.1341082817,67.2488754811,A
69.3462750832,74.8645164814,A
47.2943352496,35.0703015859,A
36.4384265783,74.4972622806,A
35.6247724322,20.3405376388,A
80.8880188030,62.1980754661,A
46.3162671530,38.7214745100,A
56.5926589433,83.4190550385,A
28.5555247444,56.6457168881,A
54.4131011303,61.3869193558,A
53.9268167857,30.1984872917,A
73.8986130543,72.9820086659,A
27.0565182890,39.4848599580,A
68.7949375369,36.2490413343,A
22.8068490945,68.7572195255,A
