xDom,yDom,tendency
41.72782695533689, 47.007240101779416, 1.2
6.139610855113492, 2.426893476744012, 1.2
49.82397791603849, 66.85255154022161, 1.2
17.50346452723396, 17.102710858203572, 1.2
46.249013177292014, 58.64562362696393, 1.2
49.11812025109171, 60.88283450248926, 1.2
46.86887740601925, 55.150865427808036, 1.2
28.553371756893643, 33.423831982209286, 1.2
17.881863379627497, 19.976158134333204, 1.2
57.10871511900494, 67.96898141788502, 1.2
47.76083043189, 62.552261589688236, 1.2
58.097847242183924, 70.11201999868209, 1.2
20.747382830664407, 19.416600812787813, 1.2
36.66259358057506, 47.212297515827245, 1.2
32.69795164618719, 43.005573034405224, 1.2
27.464685533411913, 31.298659414885886, 1.2
51.6624552027746, 68.6283935680354, 1.2
36.06547735508515, 36.18312982328637, 1.2
46.958567447702464, 53.569683368870976, 1.2
65.10118694037546, 82.19608636449128, 1.2
26.26229295559384, 36.5005851131862, 1.2
19.889179316355673, 16.82690793141782, 1.2
11.359481981628536, 12.499478119614519, 1.2
7.31218724572469, 10.815581683831695, 1.2
5.3340380266992256, 4.133109061419392, 1.2
22.121210828910083, 33.759553931654004, 1.2
7.395757929731798, 16.161069647855577, 1.2
35.83862322588918, 36.62588573580415, 1.2
28.161519264684017, 29.33320328927545, 1.2
35.18272335771025, 39.871194105636306, 1.2
5.480384648958408, 3.897131735688733, 1.2
19.756636745095676, 21.573348461633245, 1.2
22.490707230719128, 29.600978209353332, 1.2
35.55965916911444, 40.876064391314614, 1.2
32.00230212499845, 33.54292485534454, 1.2
52.49806885064563, 62.0410107124286, 1.2
9.08914144784131, 7.434139876464996, 1.2
71.6489382845131, 83.75580469762924, 1.2
22.93488127747799, 31.677541998874347, 1.2
40.974882037107434, 56.048593431174105, 1.2
44.21918862341201, 51.65644579419195, 1.2
28.74976633527211, 37.930599345400445, 1.2
80.10617291937503, 100.13283994855959, 1.2
62.926925477158015, 81.50771491865802, 1.2
53.19597849159395, 63.044850632709476, 1.2
51.12839776223211, 58.87767083147755, 1.2
16.621933040356154, 16.703074975767926, 1.2
69.5956564677564, 84.68869696770778, 1.2
79.78920581635569, 90.00608768630669, 1.2
60.04359059511209, 79.33164499365074, 1.2
