xDom,yDom,class
79.9312154553,64.0658544721,A
52.8694174541,59.2588466674,A
39.9620237982,58.7966472966,A
61.2139493204,55.7216337317,A
52.3283592984,23.1790200755,A
34.8141578255,53.0665520692,A
35.9770626384,56.9862319882,A
69.1078140530,26.1242763293,A
46.0273352815,84.4399931311,A
30.9610168682,54.4823975853,A
58.6907351565,17.7811432273,A
56.8650300457,74.2966408277,A
31.0376242796,69.1603129759,A
46.8261697885,24.6400066560,A
69.7299912190,34.3219406455,A
41.6588773100,67.0931088166,A
26.5840900380,42.2954735616,A
66.0122376901,47.2155013373,A
55.0544044486,59.1803836803,A
60.2470125751,19.4335098357,A
42.6802140067,55.5826857629,A
22.7921991295,63.7567216192,A
32.0662449445,49.9519889296,A
50.7018303364,55.9679624287,A
44.6195264624,79.7967687669,A
51.6139621894,77.6277697760,A
60.1343656496,70.8842906548,A
64.5887873414,19.1912667828,A
34.9765938713,74.1525088341,A
79.3812372238,41.4039847035,A
75.9915922434,35.7350313353,A
25.5241304853,50.7404887390,A
82.4681326719,50.2042689353,A
51.0559509199,77.3385059435,A
60.9656040257,52.6011858686,A
28.8026028208,60.2407869869,A
77.2771706987,53.1111987597,A
64.2880587968,30.4550257904,A
19.2123501824,45.3954429179,A
75.2717695206,37.7110206451,A
78.2693927925,36.8803558853,A
27.6940969961,76.9465851544,A
73.7304217218,54.3465976701,A
61.0384431691,72.3321830135,A
76.7574039134,64.5374800410,A
78.8108382244,45.7843589119,A
57.7703938213,60.9413978700,A
34.9772287140,51.9418126818,A
18.0399518215,46.7245546175,A
56.0653436145,32.9869091756,A
65.8361193906,32.6360454917,A
38.2251224544,34.6622665941,A
35.2054524663,48.6592493587,A
25.4805439640,63.9628566435,A
48.6529105612,42.3596938569,A
70.9953986598,75.9700487329,A
26.3425883912,48.2493535954,A
36.9985648522,39.9979282731,A
68.2801379455,60.3971161321,A
72.8176753874,52.0476399714,A
67.4629792644,35.3749880141,A
34.3856365815,27.1320340540,A
31.9408694285,49.1628788966,A
33.6185051983,58.0897098903,A
32.5499797907,36.2254120980,A
56.4373072949,59.8016441923,A
75.2688720565,39.0597229770,A
49.4511528539,44.6110135905,A
51.4117563193,56.0245353757,A
61.5316976757,71.6056383564,A
44.8528431065,73.7923332960,A
41.2108902281,67.8875315059,A
43.2301927190,37.8799759248,A
78.2108095912,69.0751129820,A
35.3983902735,56.4259013751,A
69.5516235091,27.4274328284,A
81.8282523204,40.3671652803,A
51.6369610287,63.4742556802,A
55.6109337143,43.5038933331,A
22.6610478683,30.1934887095,A
39.3768074914,47.4517581205,A
77.6115774000,43.7274271097,A
50.3102224681,30.2797866027,A
40.9181728672,33.8093689947,A
50.8041044919,53.7819303685,A
23.2356350458,36.2994595644,A
55.1929030749,20.9859064667,A
61.5378239846,17.9891713609,A
23.4539182237,32.2073420665,A
59.5682838273,35.0698074652,A
43.6656020425,51.8425398311,A
65.1317447441,45.4717951112,A
66.3025656231,42.2726178062,A
46.8612439837,55.8956422788,A
40.7889283994,74.8758748432,A
20.2976133351,57.6987010179,A
19.2347356039,62.0844273591,A
44.0379828587,27.5778406442,A
52.3487317139,32.8554750790,A
25.1454866585,35.0603197076,A
67.1058444886,33.3633675727,A
24.7825842408,47.4037009049,A
32.0051127010,45.8017489767,A
43.5579620392,56.3435149594,A
