xDom,yDom,class
34.6273437458,23.4738387136,A
36.1941173770,67.4968120423,A
46.4377334261,28.7152621042,A
51.8681001360,80.6820901494,A
62.2195225898,82.3153095682,A
22.6463036281,61.6506583532,A
62.3194240137,23.8197578344,A
45.7222704997,21.2421669811,A
37.0797847678,24.5425417993,A
20.3611012949,59.2616554388,A
70.4741869615,75.4032172717,A
68.0143810433,26.4639071174,A
43.0971672147,35.1901707205,A
65.2001787973,36.0638371609,A
31.7211220080,26.3702669577,A
41.9466678480,49.1054605719,A
22.9516782661,40.9412585785,A
45.1568130237,23.7809034800,A
53.9424183449,34.8433539434,A
73.2487378592,58.8329368185,A
41.1469134062,54.6306614596,A
74.9850481781,53.0909675594,A
32.3186382635,61.2009499706,A
66.0322579373,60.5369218138,A
33.7581577444,39.7021159727,A
66.4619155569,40.0313977132,A
37.0808397219,67.5718226298,A
62.0352332964,41.0437290308,A
51.5546144157,30.3361976044,A
56.8502087533,48.9380329233,A
28.5890120233,60.4963281390,A
56.1872376112,33.9825259020,A
83.1913127953,50.7088955911,A
48.8088760969,66.4197871859,A
38.8765134638,51.0186263366,A
45.6038750794,51.5540672009,A
65.9989621414,57.2381592388,A
21.6177180666,60.9286011550,A
67.8650035184,21.1242635685,A
78.8999709392,68.9317967527,A
60.1636542664,75.9199873658,A
51.4073307751,57.8824458054,A
29.1375672173,24.5237147472,A
16.3355806751,47.2126288729,A
33.4999678502,74.5696476935,A
40.2371855996,55.2642598170,A
45.0462636826,25.4588529903,A
67.2622092123,38.1722266587,A
30.4090349879,21.0166360126,A
37.7393199015,70.1955102099,A
75.4670821594,47.8794073538,A
73.4602285122,72.3274750725,A
49.0826293334,60.3953550865,A
39.9986004282,16.7215872094,A
44.0339593362,31.7227094802,A
77.5751517827,49.7943461604,A
33.3634581911,42.8446672836,A
26.5498538602,49.4650901709,A
44.6325707525,58.7590102955,A
64.5878638788,73.4193038058,A
32.7143457798,76.6524671311,A
44.2659828165,73.4584020454,A
20.7212180330,34.7320430232,A
45.7267333114,23.6920083854,A
32.3771155464,26.0048537172,A
83.9212899423,42.9534106640,A
80.5749018926,45.4642440850,A
66.4942095350,68.5916476684,A
22.7037321899,65.6321857211,A
50.8761107584,25.6902468187,A
50.4597768432,26.4057556390,A
60.0028605991,47.0024026866,A
63.7135074583,30.6198353223,A
69.6703806141,75.8157793573,A
26.1498382844,45.1052877474,A
16.3169099880,46.1662338030,A
60.8483539684,68.1496909428,A
34.2254221014,43.9420397609,A
18.0924467029,61.0412893761,A
38.5073633526,38.4062398741,A
40.0598923016,63.0760434576,A
33.3865815776,66.3104026138,A
77.5363434771,71.1946705515,A
46.4930698618,50.2590274174,A
36.6061218323,81.5930273196,A
24.4427131488,65.2421822983,A
46.7670630093,72.5851618581,A
70.9972007452,61.3408190276,A
33.0404779990,76.1371292558,A
20.0635528894,61.0348483575,A
76.9090976771,49.9208244554,A
31.9866458458,75.9557328074,A
73.9588180186,46.1089872814,A
64.2288292536,65.2758436329,A
45.4823431943,21.6006484900,A
34.8600565095,52.5192966234,A
43.2263600638,80.3161665814,A
20.4447867317,66.7450014567,A
35.1843615838,46.2278608707,A
49.6416052861,58.8338719318,A
