xDom,yDom,correlation
-38.10204375919901, 22.1091731869073, -1
-74.38214045526041, 62.16897085004558, -1
-64.22465280958463, 49.503939233048534, -1
-88.54086991750938, 83.27017811589138, -1
-38.688251904373615, 45.899463576845136, -1
-69.52277544451314, 60.747086909339366, -1
-50.64253422764145, 27.76929949792982, -1
-61.6759799793078, 68.99149527129076, -1
-19.924446159744974, 19.266433392554497, -1
-44.150239381124294, 35.633732946319014, -1
-25.066785997072515, 19.48162900492619, -1
-91.29495553348545, 98.0, -1
-53.947098369490476, 56.8160418582879, -1
-48.25785659920429, 27.657428522919343, -1
-19.804338317561573, 14.375746067194516, -1
-36.762896882543274, 46.8473019393443, -1
-77.13421415777378, 71.82643596357724, -1
-38.0669289086627, 33.33885972790558, -1
-20.835072648682456, 6.192064404378311, -1
-24.90970637108161, 32.64871468737232, -1
-30.201658810957866, 23.00149172660356, -1
-69.79725861288169, 59.43409834103807, -1
-44.89924763857526, 37.698799748151345, -1
-3.305390558877633, 3.0, -1
-66.14663546880499, 61.95216938815894, -1
-19.578952588927322, 15.035733474217793, -1
-92.6866117319347, 81.77063392499996, -1
-20.53858533706328, 25.784264478671613, -1
-12.01879903741306, 14.837380700309353, -1
-72.83425830909971, 78.82557500018935, -1
-44.74957497807195, 32.873322708411166, -1
-79.63371038105859, 73.79782929722384, -1
-29.517055611408537, 27.760506568556828, -1
-17.931476392100365, 13.661361951838714, -1
-39.83998915073943, 23.51237265224149, -1
-13.59358723912996, 3.2691168603972907, -1
-11.788985410271522, 16.455005659087572, -1
-35.086699753665805, 30.738854273276957, -1
-76.89427521699467, 69.62093274145776, -1
-71.42915037551931, 65.60849766653425, -1
-75.64473082596587, 68.65290469278864, -1
-59.95470178301734, 41.23297060411171, -1
-51.330151324810586, 48.39572019865638, -1
-18.34628921078371, 14.656879965162034, -1
-27.766872528833886, 22.97265739260536, -1
-54.47609367771309, 50.53986298611479, -1
-45.86054782268402, 24.426638742993692, -1
-49.27385045056047, 43.098093610479815, -1
-93.55662087994396, 95.39992652926647, -1
-71.14541599128347, 69.64349755895198, -1
