xDom,yDom,correlation
41.232810728894904, 35.642988222593075, 1
86.17964967362367, 80.08691647542676, 1
53.74614556080737, 34.00964604558141, 1
92.02955494340193, 90.78014061000705, 1
54.774222930417075, 53.1200759027942, 1
32.771059706117754, 37.69019939495086, 1
48.52262704284365, 46.70059457144551, 1
13.315509920359403, 14.21402454881593, 1
39.63476837361573, 50.04760487639701, 1
47.65053658156841, 31.840693320281773, 1
30.04567614785446, 44.42377874362628, 1
89.94654420326027, 83.23826427980892, 1
15.45472650265301, 20.92125592375508, 1
13.58103365559493, 12.58369680507877, 1
56.52482335085627, 42.8225463769089, 1
82.62699430851951, 72.9813841772827, 1
25.702661145827204, 42.690999497526875, 1
90.28361561091066, 73.12931618492935, 1
8.830359749246032, 13.64000826229088, 1
45.80701190994232, 35.87568528447206, 1
28.84660197247879, 25.986564396840464, 1
17.339938194607857, 50.77592781641327, 1
71.84851357366861, 71.48295959103798, 1
62.64504547181491, 44.52304753239339, 1
27.217311678138334, 54.403844424962436, 1
86.8975184342828, 85.31935865480008, 1
85.54950847513197, 79.37608616889676, 1
28.55107783191227, 15.79396032214787, 1
56.92206370200006, 70.70807186370553, 1
54.93029911357957, 44.723357366047544, 1
92.0507337829273, 88.65329152000565, 1
94.56319078640946, 67.04377244641451, 1
9.93652717362615, 3.0, 1
4.9737494778251445, 9.745009387828937, 1
21.88783795145419, 31.244925277498655, 1
47.647632721623694, 61.193521102027304, 1
62.727715902694996, 48.75072496473458, 1
50.58835454720808, 43.226038638482784, 1
35.197268301143, 58.5319712842596, 1
59.043734620460356, 60.00752977924291, 1
92.39886012941929, 57.87523164729484, 1
43.74168463057799, 34.43938515719904, 1
44.26106216469655, 40.250335161018214, 1
57.72657583870035, 71.11854230862998, 1
57.11604604306579, 44.250762452828035, 1
36.657312519508395, 41.585534998896414, 1
19.949246434627277, 42.13003447746495, 1
84.37827068659983, 58.99582958229043, 1
92.42317792259658, 98.0, 1
62.89689428254454, 72.86815618195871, 1
