xDom,yDom,correlation
-68.23808365440867, 82.4686480926419, -1
-37.645475849272174, 27.86820495422652, -1
-7.344650046445494, 22.041047402814026, -1
-8.144827622421303, 46.84272120079564, -1
-58.412567891227184, 50.723011694397776, -1
-76.60247134618791, 42.49619874172076, -1
-23.681683650757705, 62.0930299001856, -1
-40.81599111957229, 45.90948481047104, -1
-52.518509856873536, 57.29610072909946, -1
-6.108120865596533, 46.246957444452875, -1
-97.26134577551494, 80.18101681342645, -1
-9.609219607181558, 56.36655957203678, -1
-53.600784640796476, 74.07540847813877, -1
-68.574497035129, 66.23549064212298, -1
-15.24333185910433, 43.30826350819096, -1
-28.984791687280648, 68.78566991462823, -1
-38.66885670752019, 61.01178041158153, -1
-81.37337975828525, 57.21780310046185, -1
-83.70231038466457, 50.49848785083039, -1
-79.41607418414328, 98.0, -1
-18.87020989911875, 28.983422597986635, -1
-11.030489324148647, 26.849844980165617, -1
-40.26030984601612, 56.21832431644124, -1
-5.722289562407411, 21.487287257580803, -1
-59.21710452597863, 36.764747562260354, -1
-23.12876610191087, 17.74439480793842, -1
-4.99028615676032, 64.83108796440689, -1
-55.26891330267621, 42.54499127748286, -1
-45.326950277824096, 56.937135569163765, -1
-80.84484692877999, 75.97030536558653, -1
-30.612753782036975, 26.87289378826429, -1
-26.480894343900346, 37.92050616266817, -1
-41.46250634315567, 72.34207268440608, -1
-73.5236235177414, 89.65650843031733, -1
-6.506108545592269, 61.03355813983308, -1
-72.09772542491604, 53.571813865258726, -1
-38.211542550672675, 46.97512013824715, -1
-35.20637987644612, 51.226045190326545, -1
-57.96325245498271, 52.55990075790638, -1
-35.60109418204045, 38.9580993327797, -1
-34.59485794522762, 77.06088954776048, -1
-55.16308669799797, 62.303936111019176, -1
-95.81356334240185, 47.06992414656188, -1
-45.86376186838266, 38.71960098624517, -1
-29.59172605789523, 26.08179636668544, -1
-86.4408982778835, 67.65811895521912, -1
-3.686257191076635, 53.98656334690541, -1
-6.63686657517664, 3.0, -1
-28.946667265654952, 50.57582348350702, -1
-22.45958108737105, 40.67679583685334, -1
